empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao
Milk Distribuidora,GANACHE AVELÃ MELKEN 1 KG,167,Sim,8,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.0,KG,1.0,KG,GANACHE AVELÃ MELKEN,Extração por coordenadas
Milk Distribuidora,"4,5 KG",32,Sim,8,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.5,KG,4.5,KG,,
Milk Distribuidora,"FRAMBOESA 1,8 KG",XX,Não,8,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.8,KG,1.8,KG,FRAMBOESA,Código XX
Milk Distribuidora,"FRUTAS DO BOSQUE 1,8 KG",XX,Não,8,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.8,KG,1.8,KG,FRUTAS DO BOSQUE,Código XX
Milk Distribuidora,OLEO DE PALMISTE REFINADO CAIXA,03,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,OLEO DE PALMISTE REFINADO CAIXA,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,"MORANGO 4,1 KG",08,Sim,9,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.1,KG,4.1,KG,MORANGO,
Milk Distribuidora,"FRUTAS VERMELHAS 4,1 KG",113,Sim,9,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.1,KG,4.1,KG,FRUTAS VERMELHAS,
Milk Distribuidora,OLEO DE PALMISTE REFINADO BALDE,117,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,OLEO DE PALMISTE REFINADO BALDE,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,"ABACAXI 4,1 KG",159,Sim,9,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.1,KG,4.1,KG,ABACAXI,
Milk Distribuidora,"ABACAXI AO VINHO 4,1 KG",174,Sim,9,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.1,KG,4.1,KG,ABACAXI AO VINHO,
Milk Distribuidora,"BANANA CARAMELIZADA 4,1 KG",265,Sim,9,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,4.1,KG,4.1,KG,BANANA CARAMELIZADA,
Milk Distribuidora,LEITE CONDENSADO PURELAC 5 KG,282,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,5.0,KG,5.0,KG,LEITE CONDENSADO PURELAC,Extração por coordenadas
Milk Distribuidora,"CREME DE GOIABA 4,8 KG",97,Sim,9,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,4.8,KG,4.8,KG,CREME DE GOIABA,Extração por coordenadas
Milk Distribuidora,Kerrylac 800i,120,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,Kerrylac 800i,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,GORDURA DE PALMA 370B,257,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GORDURA DE PALMA 370B,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,GLUCODRY 40 25 KG,33,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,25.0,KG,25.0,KG,GLUCODRY 40,Extração por coordenadas
Milk Distribuidora,GLUCOGILL 40/82 25 KG,34,Sim,10,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,25.0,KG,25.0,KG,GLUCOGILL 40/82,Extração por coordenadas
Milk Distribuidora,COPO BAMBA ESPECIAL,261,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COPO BAMBA ESPECIAL,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,COPO BIJU,262,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COPO BIJU,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,ROLINHO BIJU,279,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ROLINHO BIJU,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,CASCÃO,283,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CASCÃO,Extração por coordenadas; Embalagem não identificada
Milk Distribuidora,COPO BISCOITO,290,Sim,11,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COPO BISCOITO,Extração por coordenadas; Embalagem não identificada
